,deaths_c19,deaths_flu,deaths_pna,deaths_c19_and_pna,deaths_c19_pna_or_flu,deaths_total,clusters,cluster
9185,286,0,210,163,333,1328,0,pink
9186,279,0,219,165,333,1441,0,pink
9187,230,0,197,136,291,1527,0,pink
9188,139,0,142,67,214,1599,0,pink
9189,661,5,627,384,904,6322,1,purple
9190,5,0,5,5,5,79,0,pink
9191,5,0,5,5,5,113,0,pink
9192,18,0,14,12,20,187,0,pink
9193,49,0,39,31,57,281,0,pink
9194,191,0,140,110,221,1166,0,pink
9195,149,0,176,108,217,1324,0,pink
9196,144,5,147,70,221,1613,0,pink
9197,99,0,103,47,155,1559,0,pink
9198,540,0,588,302,826,6318,1,purple
9199,5,0,5,0,5,74,0,pink
9200,5,0,5,0,5,119,0,pink
9201,13,0,5,5,15,171,0,pink
9202,34,0,29,23,40,264,0,pink
9203,131,0,128,79,180,1110,0,pink
9204,134,0,122,68,188,1385,0,pink
9205,117,0,168,77,208,1517,0,pink
9206,108,0,132,51,189,1678,0,pink
9207,1118,12,957,651,1433,7189,1,purple
9208,5,0,0,0,5,55,0,pink
9209,13,0,5,5,17,128,0,pink
9210,23,5,19,14,28,171,0,pink
9211,71,5,44,39,77,313,0,pink
9212,279,0,224,167,336,1321,0,pink
9213,289,5,238,174,357,1598,0,pink
9214,241,5,220,149,313,1700,0,pink
9215,201,5,203,103,304,1903,0,pink
9216,2048,24,1381,1074,2376,8384,1,purple
9217,5,0,5,5,5,87,0,pink
9218,18,5,5,5,20,145,0,pink
9219,41,5,25,21,46,213,0,pink
9220,105,5,64,60,111,339,0,pink
9221,467,5,316,260,526,1515,0,pink
9222,486,5,338,265,562,1793,0,pink
9223,507,5,360,275,597,2112,0,pink
9224,418,5,265,181,508,2180,0,pink
9225,1159,13,890,600,1458,6536,1,purple
9226,5,5,5,0,5,70,0,pink
9227,5,0,5,5,5,100,0,pink
9228,16,0,14,10,20,155,0,pink
9229,28,0,25,18,35,211,0,pink
9230,231,5,160,123,269,1175,0,pink
9231,288,5,243,166,366,1455,0,pink
9232,341,5,245,170,418,1656,0,pink
9233,249,5,197,111,339,1714,0,pink
9234,322,5,404,152,582,6010,1,purple
9235,0,0,5,0,5,76,0,pink
9236,5,0,5,5,5,113,0,pink
9237,5,0,5,5,5,160,0,pink
9238,5,0,5,5,16,264,0,pink
9239,59,5,72,28,105,1101,0,pink
9240,74,5,105,47,132,1255,0,pink
9241,100,5,127,51,180,1511,0,pink
9242,75,5,82,22,137,1530,0,pink
9243,126,11,307,44,400,5543,1,purple
9244,5,0,5,5,5,74,0,pink
9245,0,0,5,0,5,126,0,pink
9246,5,5,5,5,5,174,0,pink
9247,5,5,5,0,12,239,0,pink
9248,17,5,50,5,68,955,0,pink
9249,22,0,72,5,85,1147,0,pink
9250,42,5,88,17,116,1426,0,pink
9251,37,5,79,14,106,1402,0,pink
9252,107,5,310,31,391,5777,1,purple
9253,5,0,5,5,5,85,0,pink
9254,5,0,5,0,5,116,0,pink
9255,5,0,5,5,5,177,0,pink
9256,5,0,5,5,13,250,0,pink
9257,10,5,48,5,56,1012,0,pink
9258,18,5,78,5,92,1214,0,pink
9259,28,5,94,5,116,1453,0,pink
9260,40,0,70,10,100,1470,0,pink
9261,144,5,295,48,395,5637,1,purple
9262,5,0,5,5,5,79,0,pink
9263,0,0,5,0,5,127,0,pink
9264,5,0,5,0,5,162,0,pink
9265,0,0,13,0,13,251,0,pink
9266,15,0,48,5,57,974,0,pink
9267,21,5,73,5,87,1132,0,pink
9268,41,5,78,18,102,1418,0,pink
